week,margin_short,margin_long,ratio
2025-05-16,32.0,195.8,6.12
2025-05-23,25.1,200.6,7.99
2025-05-30,27.2,143.8,5.29
2025-06-06,22.3,148.0,6.64
2025-06-13,24.0,164.6,6.86
2025-06-20,22.0,183.2,8.33
2025-07-04,22.9,209.5,9.15
2025-07-11,21.0,179.4,8.54
2025-07-18,26.0,262.4,10.09
2025-07-25,29.0,280.2,9.66
2025-08-01,19.5,309.8,15.89
2025-08-08,18.9,286.8,15.17
2025-08-15,26.6,271.0,10.19
2025-08-22,30.6,361.6,11.82
2025-08-29,28.7,421.9,14.7
2025-09-05,34.6,478.3,13.82
2025-09-12,32.4,626.3,19.33
2025-09-19,31.7,725.3,22.88
2025-09-26,31.8,845.5,26.59
2025-10-03,38.1,990.1,25.99
2025-10-10,36.2,1037.4,28.66
2025-10-17,38.8,994.8,25.64
2025-10-24,38.9,1087.6,27.96
2025-10-31,164.5,2050.8,12.47
2025-11-07,187.6,3196.4,17.04
2025-11-14,138.1,3499.6,25.34
2025-11-21,102.9,3491.5,33.93
2025-11-28,98.1,3601.7,36.71
2025-12-05,103.5,3732.0,36.06
2025-12-12,100.6,3902.0,38.79
2025-12-19,102.6,4070.2,39.67
2025-12-26,96.1,4122.8,42.9
2026-01-09,86.8,4128.2,47.56
2026-01-16,83.4,4126.4,49.48
2026-01-23,83.1,4162.0,50.08
2026-01-30,95.1,4303.7,45.25
2026-02-06,112.4,4356.7,38.76
2026-02-13,103.8,4357.8,41.98
2026-02-20,85.7,4435.9,51.76
2026-02-27,114.4,4447.8,38.88
2026-03-06,157.3,4517.3,28.72
2026-03-13,237.6,4643.6,19.54
2026-03-19,351.3,4658.2,13.26
2026-03-20,351300.0,4658200.0,13.26
2026-03-27,861.3,4208.2,4.89
2026-04-03,191.1,4321.7,22.61
2026-04-10,174.5,4316.8,24.74
2026-04-17,156.8,4324.5,27.58
2026-04-24,142.8,4318.6,30.24
2026-05-01,160.2,4349.7,27.15
2026-05-15,153.5,4275.4,27.85
