week,margin_short,margin_long,ratio
2025-05-30,0.0,44.5,
2025-06-06,0.0,44.8,
2025-06-13,0.0,45.6,
2025-06-20,0.0,46.4,
2025-07-04,0.0,45.4,
2025-07-11,0.0,49.3,
2025-07-18,0.0,47.3,
2025-07-25,0.0,48.7,
2025-08-01,0.0,37.3,
2025-08-08,0.0,30.4,
2025-08-15,0.0,27.4,
2025-08-22,0.0,28.0,
2025-08-29,0.0,27.2,
2025-09-05,0.0,36.4,
2025-09-12,0.0,36.3,
2025-09-19,0.0,36.2,
2025-09-26,0.0,34.0,
2025-10-03,0.0,32.6,
2025-10-10,0.0,33.6,
2025-10-17,0.0,34.9,
2025-10-24,0.0,35.9,
2025-10-31,0.0,35.1,
2025-11-07,0.0,37.5,
2025-11-14,0.0,37.5,
2025-11-21,0.0,39.1,
2025-11-28,0.0,37.5,
2025-12-05,0.0,37.4,
2025-12-12,0.0,44.8,
2025-12-19,0.0,52.1,
2025-12-26,0.0,53.6,
2026-01-09,0.0,57.1,
2026-01-16,0.0,78.8,
2026-01-23,0.0,67.8,
2026-01-30,0.0,63.1,
2026-02-06,0.0,60.4,
2026-02-13,0.0,59.3,
2026-02-20,0.0,56.8,
2026-02-27,0.0,56.5,
2026-03-06,0.0,45.5,
2026-03-13,0.0,36.6,
2026-03-19,0.0,37.0,
2026-03-20,0.0,37000.0,
2026-03-27,0.0,35.2,
2026-04-03,0.0,36.6,
2026-04-10,0.0,35.8,
2026-04-17,0.0,35.9,
2026-04-24,0.0,36.1,
2026-05-01,0.0,36.8,
2026-05-15,0.0,34.3,
2026-05-22,0.0,35.0,
2026-07-17,0.0,48.1,
